Timestamp,DeviceName,AccountName,ActionType,FileName,FolderPath,SHA256,ProcessCommandLine
"Jan 11, 2026 6:29:16 PM",notengo,notengo,ProcessCreated,firefox.exe,C:\Users\Notengo\Desktop\Tor Browser\Browser\firefox.exe,87e9e23af064fa5e0c5f3dea4eb0f88a1b412272825f82149f18e369d20d19da,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 4252:28841 -prefMapHandle 4244:275601 -jsInitHandle 3008:242716 -parentBuildID 20251208080136 -ipcHandle 4372 -initialChannelId {7325dc76-3373-412a-96ba-553e94106d00} -parentPid 3276 -win32kLockedDown -appDir ""C:\Users\Notengo\Desktop\Tor Browser\Browser\browser"" - 8 tab"
"Jan 11, 2026 6:29:15 PM",notengo,notengo,ProcessCreated,firefox.exe,C:\Users\Notengo\Desktop\Tor Browser\Browser\firefox.exe,87e9e23af064fa5e0c5f3dea4eb0f88a1b412272825f82149f18e369d20d19da,"""firefox.exe"" -contentproc -parentBuildID 20251208080136 -sandboxingKind 0 -prefsHandle 4264:29772 -prefMapHandle 4268:275601 -ipcHandle 4256 -initialChannelId {b3e95e7a-ca51-4613-b4eb-a41a795a537b} -parentPid 3276 -win32kLockedDown -appDir ""C:\Users\Notengo\Desktop\Tor Browser\Browser\browser"" - 7 utility"
"Jan 11, 2026 6:29:14 PM",notengo,notengo,ProcessCreated,firefox.exe,C:\Users\Notengo\Desktop\Tor Browser\Browser\firefox.exe,87e9e23af064fa5e0c5f3dea4eb0f88a1b412272825f82149f18e369d20d19da,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 3592:27752 -prefMapHandle 3552:275601 -jsInitHandle 3556:242716 -parentBuildID 20251208080136 -ipcHandle 3580 -initialChannelId {56bcb976-b1c7-4383-9937-fde724808c46} -parentPid 3276 -win32kLockedDown -appDir ""C:\Users\Notengo\Desktop\Tor Browser\Browser\browser"" - 6 tab"
"Jan 11, 2026 6:29:11 PM",notengo,notengo,ProcessCreated,tor.exe,C:\Users\Notengo\Desktop\Tor Browser\Browser\TorBrowser\Tor\tor.exe,5c204e004ec7f65ebe3a9bdc55170144a1067bf89a6712b87e0825a036e45ff8,"""tor.exe"" -f ""C:\Users\Notengo\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\Notengo\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\Notengo\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\Notengo\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\Notengo\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\Notengo\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 3276 DisableNetwork 1"
"Jan 11, 2026 6:29:07 PM",notengo,notengo,ProcessCreated,firefox.exe,C:\Users\Notengo\Desktop\Tor Browser\Browser\firefox.exe,87e9e23af064fa5e0c5f3dea4eb0f88a1b412272825f82149f18e369d20d19da,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 3684:27872 -prefMapHandle 3688:275601 -jsInitHandle 3692:242716 -parentBuildID 20251208080136 -ipcHandle 3700 -initialChannelId {725f7715-a5a5-495f-a1d8-75138e6b26f1} -parentPid 3276 -win32kLockedDown -appDir ""C:\Users\Notengo\Desktop\Tor Browser\Browser\browser"" - 5 tab"
"Jan 11, 2026 6:29:07 PM",notengo,notengo,ProcessCreated,firefox.exe,C:\Users\Notengo\Desktop\Tor Browser\Browser\firefox.exe,87e9e23af064fa5e0c5f3dea4eb0f88a1b412272825f82149f18e369d20d19da,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 3268:27759 -prefMapHandle 3272:275601 -jsInitHandle 3276:242716 -parentBuildID 20251208080136 -ipcHandle 3296 -initialChannelId {8c50a4c8-66b1-4f93-8517-6e7dd3206e14} -parentPid 3276 -win32kLockedDown -appDir ""C:\Users\Notengo\Desktop\Tor Browser\Browser\browser"" - 4 tab"
"Jan 11, 2026 6:29:07 PM",notengo,notengo,ProcessCreated,firefox.exe,C:\Users\Notengo\Desktop\Tor Browser\Browser\firefox.exe,87e9e23af064fa5e0c5f3dea4eb0f88a1b412272825f82149f18e369d20d19da,"""firefox.exe"" -contentproc -parentBuildID 20251208080136 -prefsHandle 1820:27697 -prefMapHandle 2276:275601 -ipcHandle 1536 -initialChannelId {71f7b79c-9387-41cd-997d-4528c5b906b0} -parentPid 3276 -appDir ""C:\Users\Notengo\Desktop\Tor Browser\Browser\browser"" - 3 rdd"
"Jan 11, 2026 6:29:07 PM",notengo,notengo,ProcessCreated,firefox.exe,C:\Users\Notengo\Desktop\Tor Browser\Browser\firefox.exe,87e9e23af064fa5e0c5f3dea4eb0f88a1b412272825f82149f18e369d20d19da,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 2056:27031 -prefMapHandle 1916:275601 -jsInitHandle 2008:242716 -parentBuildID 20251208080136 -ipcHandle 2364 -initialChannelId {22b06dd0-1e95-4f9b-84e5-a672c5c8f416} -parentPid 3276 -win32kLockedDown -appDir ""C:\Users\Notengo\Desktop\Tor Browser\Browser\browser"" - 2 tab"
"Jan 11, 2026 6:29:04 PM",notengo,notengo,ProcessCreated,firefox.exe,C:\Users\Notengo\Desktop\Tor Browser\Browser\firefox.exe,87e9e23af064fa5e0c5f3dea4eb0f88a1b412272825f82149f18e369d20d19da,"""firefox.exe"" -contentproc -parentBuildID 20251208080136 -prefsHandle 2652:26433 -prefMapHandle 2656:275601 -ipcHandle 2688 -initialChannelId {1ec85005-298e-48c7-9d5f-b76de777834c} -parentPid 3276 -appDir ""C:\Users\Notengo\Desktop\Tor Browser\Browser\browser"" - 1 gpu"
"Jan 11, 2026 6:29:00 PM",notengo,notengo,ProcessCreated,firefox.exe,C:\Users\Notengo\Desktop\Tor Browser\Browser\firefox.exe,87e9e23af064fa5e0c5f3dea4eb0f88a1b412272825f82149f18e369d20d19da,firefox.exe
"Jan 11, 2026 6:29:00 PM",notengo,notengo,ProcessCreated,firefox.exe,C:\Users\Notengo\Desktop\Tor Browser\Browser\firefox.exe,87e9e23af064fa5e0c5f3dea4eb0f88a1b412272825f82149f18e369d20d19da,firefox.exe
